Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2019-01-29,DASHBTC,0.01949,0.0199,0.01917,0.01963,52428.82,1029.46
2019-01-28,DASHBTC,0.01978,0.01984,0.01915,0.01949,50425.91,977.76
2019-01-27,DASHBTC,0.02044,0.0205,0.01972,0.01978,46268.88,925.59
2019-01-26,DASHBTC,0.02042,0.02056,0.0202,0.02044,48662.97,992.36
2019-01-25,DASHBTC,0.02023,0.02068,0.02021,0.02042,48428.75,990.68
2019-01-24,DASHBTC,0.0198,0.02058,0.01968,0.02023,53712.58,1082.51
2019-01-23,DASHBTC,0.01983,0.02055,0.01967,0.0198,49967.15,997.76
2019-01-22,DASHBTC,0.01944,0.01998,0.01938,0.01983,28684.64,567.23
2019-01-21,DASHBTC,0.01927,0.01972,0.0192,0.01944,6225.36,120.25
2019-01-20,DASHBTC,0.01969,0.01975,0.0191,0.01927,3184.13,61.95
2019-01-19,DASHBTC,0.0194,0.01978,0.0194,0.01969,17322.45,338.15
2019-01-18,DASHBTC,0.01963,0.01978,0.01934,0.0194,42634.96,834.44
2019-01-17,DASHBTC,0.01958,0.01972,0.01937,0.01963,53621.93,1047.25
2019-01-16,DASHBTC,0.01935,0.01983,0.0192,0.01958,51331.78,1000.8
2019-01-15,DASHBTC,0.01954,0.01968,0.01898,0.01935,50456.56,978.37
2019-01-14,DASHBTC,0.01958,0.02014,0.01905,0.01954,51086.89,1006.56
2019-01-13,DASHBTC,0.01999,0.02014,0.01941,0.01958,43245.93,857.5
2019-01-12,DASHBTC,0.01991,0.02019,0.01982,0.01999,3118.71,62.39
2019-01-11,DASHBTC,0.01994,0.02048,0.01967,0.01991,3970.0,79.37
2019-01-10,DASHBTC,0.0212,0.0215,0.01943,0.01994,6797.55,137.3
2019-01-09,DASHBTC,0.02014,0.02181,0.01993,0.0212,9072.94,188.48
2019-01-08,DASHBTC,0.02059,0.02067,0.01988,0.02014,13286.9,269.86
2019-01-07,DASHBTC,0.02092,0.0213,0.0204,0.02059,25804.02,539.38
2019-01-06,DASHBTC,0.02091,0.02117,0.02071,0.02092,53903.48,1126.36
2019-01-05,DASHBTC,0.02087,0.02109,0.02052,0.02091,55356.71,1153.61
2019-01-04,DASHBTC,0.02088,0.02161,0.02076,0.02087,47766.13,1004.2
2019-01-03,DASHBTC,0.02144,0.02195,0.02088,0.02088,44864.38,957.97
2019-01-02,DASHBTC,0.02099,0.0217,0.02094,0.02144,52034.31,1108.18
2019-01-01,DASHBTC,0.02105,0.02119,0.02088,0.02099,55367.91,1164.43
2018-12-31,DASHBTC,0.02106,0.02183,0.02088,0.02105,55657.12,1182.61
2018-12-30,DASHBTC,0.02093,0.02174,0.02075,0.02106,61830.28,1315.04
2018-12-29,DASHBTC,0.02151,0.02164,0.02064,0.02093,52493.84,1107.9
2018-12-28,DASHBTC,0.02085,0.02183,0.02045,0.02151,56894.75,1198.9
