Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2018-04-12,EOSBTC,0.001229,0.001299,0.001104,0.001116,14529290.24,17525.34
2018-04-11,EOSBTC,0.0008755,0.001275,0.000872,0.001229,16717461.16,17828.96
2018-04-10,EOSBTC,0.0008638,0.0008914,0.000854,0.0008755,4489948.0,3921.21
2018-04-09,EOSBTC,0.0008486,0.0008723,0.0008315,0.0008638,4173024.0,3563.6
2018-04-08,EOSBTC,0.000852,0.0008568,0.0008387,0.0008486,3766929.0,3186.81
2018-04-07,EOSBTC,0.00088,0.00088,0.000844,0.000852,4212945.0,3608.58
2018-04-06,EOSBTC,0.000934,0.000934,0.00086,0.00088,6192676.0,5512.18
2018-04-05,EOSBTC,0.0008322,0.00094,0.0008126,0.000934,7409951.0,6436.19
2018-04-04,EOSBTC,0.0008145,0.000845,0.000796,0.0008322,4434526.0,3615.38
2018-04-03,EOSBTC,0.0008225,0.0008272,0.0007956,0.0008145,4834501.0,3904.49
2018-04-02,EOSBTC,0.0008221,0.000831,0.0007994,0.0008225,4745353.0,3869.44
2018-04-01,EOSBTC,0.000855,0.0008573,0.0007934,0.0008221,4656203.0,3862.79
2018-03-31,EOSBTC,0.0008763,0.0008799,0.0008367,0.000855,4335846.0,3719.53
2018-03-30,EOSBTC,0.0008281,0.00088,0.0008277,0.0008763,6735548.0,5778.09
2018-03-29,EOSBTC,0.0007812,0.0008365,0.0007667,0.0008281,6923915.0,5557.0
2018-03-28,EOSBTC,0.0007434,0.00081,0.000728,0.0007812,6018153.0,4669.46
2018-03-27,EOSBTC,0.000712,0.000802,0.000671,0.0007434,7514720.0,5541.83
2018-03-26,EOSBTC,0.0007614,0.0007675,0.0006732,0.000712,5510886.0,3998.6
2018-03-25,EOSBTC,0.0007596,0.000779,0.0007527,0.0007614,4160934.0,3192.61
2018-03-24,EOSBTC,0.0007789,0.0007915,0.000759,0.0007596,5266230.0,4075.55
2018-03-23,EOSBTC,0.000791,0.0008141,0.000746,0.0007789,6890861.0,5401.78
2018-03-22,EOSBTC,0.0007749,0.0008147,0.0007233,0.000791,8967256.0,6944.7
2018-03-21,EOSBTC,0.0006676,0.0008091,0.000662,0.0007749,7376594.0,5300.3
2018-03-20,EOSBTC,0.0007167,0.0007297,0.0006374,0.0006676,5804067.0,3972.13
2018-03-19,EOSBTC,0.0005618,0.0007269,0.0005545,0.0007167,5467931.0,3371.89
2018-03-18,EOSBTC,0.0005866,0.0005874,0.0005,0.0005618,4297846.0,2377.65
2018-03-17,EOSBTC,0.000608,0.0006168,0.0005841,0.0005866,2700999.0,1631.89
2018-03-16,EOSBTC,0.0006197,0.0006251,0.0006028,0.000608,2835226.0,1740.43
2018-03-15,EOSBTC,0.0006415,0.0006484,0.0006156,0.0006197,3279098.0,2055.69
2018-03-14,EOSBTC,0.0006312,0.00066,0.0006279,0.0006415,3002571.0,1925.16
2018-03-13,EOSBTC,0.0006278,0.000651,0.0006149,0.0006312,2632892.0,1661.51
2018-03-12,EOSBTC,0.0006347,0.000638,0.000613,0.0006278,1566435.0,976.72
2018-03-11,EOSBTC,0.0006447,0.000659,0.0006323,0.0006347,1364709.0,882.54
2018-03-10,EOSBTC,0.000651,0.000685,0.0006415,0.0006447,1631058.0,1074.23
2018-03-09,EOSBTC,0.0006536,0.0006679,0.0006163,0.000651,2382977.0,1522.57
2018-03-08,EOSBTC,0.0006465,0.0006719,0.0006256,0.0006536,2042618.0,1319.19
2018-03-07,EOSBTC,0.0006669,0.0006713,0.0006123,0.0006465,2811333.0,1822.05
2018-03-06,EOSBTC,0.0006907,0.000699,0.00066,0.0006669,1471991.0,1000.21
2018-03-05,EOSBTC,0.0007078,0.0007171,0.0006855,0.0006907,1260305.0,887.61
2018-03-04,EOSBTC,0.0006899,0.0007126,0.0006821,0.0007078,1394470.0,972.07
2018-03-03,EOSBTC,0.0007263,0.0007353,0.000689,0.0006899,1044868.0,737.66
2018-03-02,EOSBTC,0.0007812,0.0007917,0.0007149,0.0007263,1513175.0,1127.31
2018-03-01,EOSBTC,0.00079,0.0008345,0.0007533,0.0007812,1572603.0,1230.21
2018-02-28,EOSBTC,0.0007911,0.0008325,0.0007878,0.00079,1684891.0,1358.56
2018-02-27,EOSBTC,0.0007734,0.0008197,0.00077,0.0007901,1583868.0,1255.81
