Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2018-12-06,ETHBTC,0.0274,0.0276,0.0259,0.0262,186.34,4.996
2018-12-05,ETHBTC,0.0282,0.0283,0.0274,0.0274,252.14,7.007
2018-12-04,ETHBTC,0.0282,0.0282,0.0278,0.0282,66.63,1.862
2018-12-03,ETHBTC,0.0282,0.0289,0.0277,0.0282,303.78,8.53
2018-12-02,ETHBTC,0.0282,0.0287,0.028,0.0282,26.12,0.7394
2018-12-01,ETHBTC,0.0283,0.029,0.0279,0.0282,242.31,6.836
2018-11-30,ETHBTC,0.0278,0.0287,0.0275,0.0283,48.72,1.378
2018-11-29,ETHBTC,0.0289,0.0289,0.0275,0.0278,331.41,9.252
2018-11-28,ETHBTC,0.0287,0.0291,0.028,0.0289,144.6,4.121
2018-11-27,ETHBTC,0.0288,0.0294,0.028,0.0287,257.45,7.317
2018-11-26,ETHBTC,0.029,0.0298,0.0285,0.0288,134.03,3.904
2018-11-25,ETHBTC,0.0296,0.0296,0.0282,0.029,207.36,5.948
2018-11-24,ETHBTC,0.0284,0.0319,0.0283,0.0296,64.55,1.944
2018-11-23,ETHBTC,0.029,0.03,0.0281,0.0284,70.45,2.06
2018-11-22,ETHBTC,0.0299,0.0301,0.029,0.029,3072.17,90.52
2018-11-21,ETHBTC,0.0293,0.0306,0.029,0.0299,212.03,6.279
2018-11-20,ETHBTC,0.0309,0.0315,0.0293,0.0293,439.02,13.37
2018-11-19,ETHBTC,0.0317,0.032,0.0294,0.0309,270.37,8.22
2018-11-18,ETHBTC,0.0316,0.032,0.0312,0.0317,27.39,0.8684
2018-11-17,ETHBTC,0.0313,0.0318,0.0311,0.0316,53.06,1.661
2018-11-16,ETHBTC,0.0321,0.0326,0.0313,0.0313,71.59,2.296
2018-11-15,ETHBTC,0.0324,0.0335,0.0318,0.0321,84.82,2.741
2018-11-14,ETHBTC,0.0328,0.033,0.0302,0.0324,169.24,5.358
2018-11-13,ETHBTC,0.0334,0.0334,0.0326,0.0328,55.3,1.827
2018-11-12,ETHBTC,0.0339,0.034,0.0332,0.0334,79.27,2.67
2018-11-11,ETHBTC,0.0337,0.034,0.0335,0.0339,31.37,1.058
2018-11-10,ETHBTC,0.0336,0.0341,0.0335,0.0337,17.46,0.5918
2018-11-09,ETHBTC,0.0335,0.034,0.0333,0.0336,41.22,1.388
2018-11-08,ETHBTC,0.034,0.0344,0.0335,0.0335,23.09,0.7837
2018-11-07,ETHBTC,0.0343,0.0348,0.0338,0.034,120.01,4.116
2018-11-06,ETHBTC,0.033,0.0345,0.0329,0.0343,68.14,2.303
2018-11-05,ETHBTC,0.0337,0.0339,0.0327,0.033,106.96,3.52
2018-11-04,ETHBTC,0.0323,0.0343,0.0321,0.0337,60.56,1.992
2018-11-03,ETHBTC,0.0324,0.0327,0.032,0.0323,89.42,2.896
2018-11-02,ETHBTC,0.032,0.0331,0.0316,0.0324,180.46,5.79
2018-11-01,ETHBTC,0.0317,0.0327,0.0317,0.032,15.88,0.5076
2018-10-31,ETHBTC,0.0317,0.0327,0.0316,0.0317,25.61,0.8183
2018-10-30,ETHBTC,0.0317,0.0337,0.0315,0.0317,55.47,1.853
2018-10-29,ETHBTC,0.032,0.033,0.0315,0.0317,108.93,3.465
2018-10-28,ETHBTC,0.0318,0.0333,0.0318,0.032,13.44,0.4332
2018-10-27,ETHBTC,0.032,0.0323,0.0318,0.0318,47.64,1.533
2018-10-26,ETHBTC,0.0319,0.0323,0.0318,0.032,29.84,0.956
2018-10-25,ETHBTC,0.0321,0.0339,0.0318,0.0319,85.25,2.781
2018-10-24,ETHBTC,0.0332,0.0332,0.0318,0.0321,53.47,1.748
2018-10-23,ETHBTC,0.0321,0.0339,0.0319,0.0332,414.0,13.97
2018-10-22,ETHBTC,0.0319,0.0329,0.0319,0.0321,20.97,0.6811
2018-10-21,ETHBTC,0.0338,0.0346,0.0319,0.0319,39.56,1.347
2018-10-20,ETHBTC,0.0321,0.0345,0.0317,0.0338,65.23,2.143
2018-10-19,ETHBTC,0.0316,0.0324,0.0316,0.0321,15.73,0.5053
2018-10-18,ETHBTC,0.0323,0.0349,0.0316,0.0316,227.06,7.74
2018-10-17,ETHBTC,0.0325,0.034,0.0321,0.0323,9.221,0.3007
2018-10-16,ETHBTC,0.0322,0.0332,0.0321,0.0325,53.7,1.764
2018-10-15,ETHBTC,0.0316,0.035,0.0315,0.0322,95.99,3.149
2018-10-14,ETHBTC,0.0323,0.0335,0.0316,0.0316,40.68,1.315
2018-10-13,ETHBTC,0.0312,0.0329,0.0312,0.0323,28.83,0.9311
2018-10-12,ETHBTC,0.0313,0.0359,0.031,0.0312,137.33,4.418
2018-10-11,ETHBTC,0.0349,0.0355,0.0311,0.0313,133.33,4.409
2018-10-10,ETHBTC,0.0353,0.0362,0.0349,0.0349,29.85,1.056
2018-10-09,ETHBTC,0.0354,0.0361,0.0351,0.0353,29.7,1.06
2018-10-08,ETHBTC,0.0351,0.0357,0.0348,0.0354,18.49,0.6536
2018-10-07,ETHBTC,0.0351,0.0361,0.0346,0.0351,86.24,3.02
2018-10-06,ETHBTC,0.0355,0.0369,0.035,0.0351,25.75,0.9264
2018-10-05,ETHBTC,0.0346,0.036,0.0337,0.0355,52.63,1.837
2018-10-04,ETHBTC,0.0344,0.0365,0.0343,0.0346,127.17,4.482
2018-10-03,ETHBTC,0.0351,0.0366,0.0343,0.0344,78.52,2.72
2018-10-02,ETHBTC,0.0351,0.0385,0.0351,0.0351,52.39,1.917
2018-10-01,ETHBTC,0.0356,0.0383,0.0349,0.0351,20.11,0.7188
2018-09-30,ETHBTC,0.0364,0.039,0.0347,0.0356,89.4,3.285
2018-09-29,ETHBTC,0.0345,0.0375,0.0341,0.0364,33.51,1.185
2018-09-28,ETHBTC,0.0344,0.0359,0.0341,0.0345,75.46,2.645
2018-09-27,ETHBTC,0.034,0.0354,0.0334,0.0344,68.77,2.345
2018-09-26,ETHBTC,0.0344,0.0357,0.0332,0.034,121.89,4.224
2018-09-25,ETHBTC,0.0358,0.038,0.0332,0.0344,106.28,3.657
2018-09-24,ETHBTC,0.037,0.0382,0.0358,0.0358,89.15,3.267
2018-09-23,ETHBTC,0.037,0.0397,0.0363,0.037,78.31,2.979
2018-09-22,ETHBTC,0.0387,0.04,0.036,0.037,104.52,3.895
2018-09-21,ETHBTC,0.035,0.0394,0.0338,0.0387,445.08,15.63
2018-09-20,ETHBTC,0.0329,0.035,0.0327,0.035,749.87,24.92
2018-09-19,ETHBTC,0.0331,0.034,0.0312,0.0329,323.19,10.65
2018-09-18,ETHBTC,0.0316,0.0337,0.0312,0.0331,126.57,4.092
