Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume ETH
2019-10-03,ETCETH,0.02596,0.02668,0.02579,0.02637,2095541.23,54822.21
2019-10-02,ETCETH,0.0262,0.02646,0.02565,0.02596,1979050.3,51662.09
2019-10-01,ETCETH,0.02603,0.02654,0.02564,0.0262,2083624.75,54482.29
2019-09-30,ETCETH,0.02682,0.02713,0.026,0.02603,1906207.97,50689.11
2019-09-29,ETCETH,0.02691,0.02733,0.02665,0.02682,1933914.46,52231.45
2019-09-28,ETCETH,0.02681,0.02745,0.02668,0.02691,1957214.74,52875.45
2019-09-27,ETCETH,0.02821,0.02835,0.02655,0.02681,1958849.44,54179.35
2019-09-26,ETCETH,0.02833,0.02927,0.02774,0.02821,2091927.05,59145.74
2019-09-25,ETCETH,0.02789,0.02932,0.02705,0.02833,2541141.16,71260.11
2019-09-24,ETCETH,0.02896,0.0315,0.02511,0.02789,2552782.58,72959.16
2019-09-23,ETCETH,0.02845,0.02931,0.02834,0.02896,2067018.95,59264.22
2019-09-22,ETCETH,0.02845,0.02902,0.02827,0.02845,2107584.81,60301.81
2019-09-21,ETCETH,0.02827,0.02876,0.02792,0.02845,2105518.42,59453.67
2019-09-20,ETCETH,0.02821,0.02885,0.02785,0.02827,2096009.98,59340.66
2019-09-19,ETCETH,0.03028,0.03059,0.02767,0.02821,2303485.23,66652.13
2019-09-18,ETCETH,0.03024,0.03072,0.02961,0.03028,1879412.11,56786.62
2019-09-17,ETCETH,0.03154,0.03171,0.02986,0.03024,1941998.08,60167.95
2019-09-16,ETCETH,0.03301,0.03309,0.0312,0.03154,1848982.17,59678.61
2019-09-15,ETCETH,0.03322,0.03365,0.03282,0.03301,1881727.46,62615.79
2019-09-14,ETCETH,0.03404,0.03418,0.03314,0.03322,2031739.23,68711.94
2019-09-13,ETCETH,0.03432,0.03486,0.03373,0.03404,2024371.34,69696.94
2019-09-12,ETCETH,0.03553,0.03573,0.03432,0.03432,1939404.01,68007.26
2019-09-11,ETCETH,0.03634,0.03654,0.03499,0.03553,1820329.92,65052.81
2019-09-10,ETCETH,0.03653,0.0372,0.03574,0.03634,1807705.52,65736.6
2019-09-09,ETCETH,0.03671,0.03713,0.03578,0.03653,1728193.9,62912.64
2019-09-08,ETCETH,0.03735,0.03745,0.0364,0.03671,1794320.7,66226.88
