ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units
983,consolidated balance sheets,2015,Total assets,209947000,thousands
985,consolidated balance sheets,2016,TOTAL ASSETS,68255000,thousands
986,consolidated balance sheets,2016,TOTAL ASSETS,379142,thousands
988,consolidated balance sheets,2015,Total assets,440205000,thousands
989,consolidated balance sheets,2016,Total assets,1707633000,thousands
991,consolidated balance sheets,2016,Total assets,282246000,thousands
994,consolidated balance sheets,2015,Total assets,16961000,thousands
995,consolidated balance sheets,2015,Total Assets,19150559,thousands
996,consolidated balance sheets,2016,Total Assets,361970000,thousands
999,consolidated balance sheets,2015,Total assets,46612,thousands
1001,consolidated balance sheets,2016,Total assets,2618000,thousands
1002,consolidated balance sheets,2015,Total assets,16154010,thousands
1005,consolidated balance sheets,2015,Total assets,5106900000,thousands
1006,consolidated balance sheets,2015,Total assets,5460044000,thousands
1008,consolidated balance sheets,2016,Total assets,112180,thousands
1009,consolidated balance sheets,2016,TOTAL ASSETS,7100,thousands
1011,consolidated balance sheets,2015,Total assets,146237000,thousands
1012,consolidated balance sheets,2016,Total assets,4004261000,thousands
1014,consolidated balance sheets,2016,Total assets,216669000,thousands
