Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-05-02 07-PM,ETHUSD,212.88,214.21,211.87,213.74,5066.71,1082741.91
2020-05-02 06-PM,ETHUSD,214.63,214.63,211.86,212.88,1814.87,386114.9
2020-05-02 05-PM,ETHUSD,214.6,215.1,213.95,214.63,1681.8,360632.0
2020-05-02 04-PM,ETHUSD,213.18,215.71,212.97,214.6,9050.62,1942550.34
2020-05-02 03-PM,ETHUSD,213.5,214.25,211.93,213.18,2152.17,458418.09
2020-05-02 02-PM,ETHUSD,213.38,214.21,213.05,213.5,982.38,210055.81
2020-05-02 01-PM,ETHUSD,212.94,213.38,212.57,213.38,408.66,87044.45
2020-05-02 12-PM,ETHUSD,212.62,213.82,212.35,212.94,1871.7,399494.2
2020-05-02 11-AM,ETHUSD,212.19,213.2,212.19,212.62,3075.4,654369.07
2020-05-02 10-AM,ETHUSD,212.13,212.7,211.98,212.19,383.47,81453.29
2020-05-02 09-AM,ETHUSD,211.14,212.17,211,212.13,468.74,99228.15
2020-05-02 08-AM,ETHUSD,211.21,211.99,210.6,211.14,653.81,138028.71
2020-05-02 07-AM,ETHUSD,212.61,212.7,210.54,211.21,950.42,201338.26
2020-05-02 06-AM,ETHUSD,212.86,213.39,212.58,212.61,677.08,144288.74
2020-05-02 05-AM,ETHUSD,212.7,212.93,212.13,212.86,522.02,110995.74
2020-05-02 04-AM,ETHUSD,213.29,213.74,212.5,212.7,1500.8,319884.59
2020-05-02 03-AM,ETHUSD,212.4,214.09,212.18,213.29,3082.21,658287.32
2020-05-02 02-AM,ETHUSD,212.28,212.6,211.24,212.4,449.29,95226.79
2020-05-02 01-AM,ETHUSD,212.91,212.91,211.83,212.28,492.73,104668.67
2020-05-02 12-AM,ETHUSD,211.88,213.28,211.07,212.91,2082.62,441634.11
2020-05-01 11-PM,ETHUSD,212.04,213.91,211.69,211.88,2116.31,450286.48
2020-05-01 10-PM,ETHUSD,212.34,212.49,211.42,212.04,942.76,199765.5
2020-05-01 09-PM,ETHUSD,209.73,212.52,209.71,212.34,3395.25,716060.5
2020-05-01 08-PM,ETHUSD,209,209.77,208.17,209.73,6294.35,1314310.12
2020-05-01 07-PM,ETHUSD,210.01,210.21,208.52,209,8203.24,1717022.61
2020-05-01 06-PM,ETHUSD,210.6,211.82,210,210.01,1723.53,363234.87
2020-05-01 05-PM,ETHUSD,210.07,210.86,209.3,210.6,3906.4,818782.71
2020-05-01 04-PM,ETHUSD,209.95,211.24,208.44,210.07,7903.36,1657337.15
2020-05-01 03-PM,ETHUSD,212.41,213.08,209.84,209.95,1739.49,368423.08
2020-05-01 02-PM,ETHUSD,210.93,212.64,209.66,212.41,1681.32,354751.94
2020-05-01 01-PM,ETHUSD,212.9,213.8,210.13,210.93,1391.08,295017.66
2020-05-01 12-PM,ETHUSD,215.11,215.89,211.2,212.9,4293.95,916183.65
2020-05-01 11-AM,ETHUSD,214.98,217.42,214.09,215.11,6357.52,1372235.34
2020-05-01 10-AM,ETHUSD,214.92,215.06,212.94,214.98,1825.05,389917.46
2020-05-01 09-AM,ETHUSD,213.44,214.95,212.7,214.92,1820.49,389517.42
2020-05-01 08-AM,ETHUSD,212.79,213.6,211.88,213.44,807.92,171965.88
2020-05-01 07-AM,ETHUSD,213.06,213.97,210.31,212.79,2047.97,434721.77
2020-05-01 06-AM,ETHUSD,214.51,214.51,212.63,213.06,1485.27,317310.56
2020-05-01 05-AM,ETHUSD,212.48,215.1,211.58,214.51,3622.28,774121.23
2020-05-01 04-AM,ETHUSD,208.8,212.55,208.8,212.48,2156.31,455223.43
2020-05-01 03-AM,ETHUSD,210,210.36,208.1,208.8,1115.25,232952.0
2020-05-01 02-AM,ETHUSD,208.03,210.42,207.83,210,1346.77,282118.91
2020-05-01 01-AM,ETHUSD,209.11,209.84,207.95,208.03,1215.91,254049.37
2020-05-01 12-AM,ETHUSD,206.2,209.64,206.14,209.11,2444.95,509059.2
2020-04-30 11-PM,ETHUSD,210.55,210.59,205.18,206.2,3218.31,667083.0
2020-04-30 10-PM,ETHUSD,209.14,210.55,206.92,210.55,3484.8,726248.41
2020-04-30 09-PM,ETHUSD,211.8,212.14,208.51,209.14,3395.6,714662.36
2020-04-30 08-PM,ETHUSD,211.6,212.4,210.19,211.8,2091.63,441435.17
2020-04-30 07-PM,ETHUSD,209.2,212.97,209.2,211.6,6463.35,1367515.17
2020-04-30 06-PM,ETHUSD,205.97,210.37,205.97,209.2,6153.97,1284205.33
2020-04-30 05-PM,ETHUSD,207.8,207.8,202.5,205.97,7917.39,1620651.42
2020-04-30 04-PM,ETHUSD,208.48,210.36,204.5,207.8,6366.19,1322042.81
2020-04-30 03-PM,ETHUSD,211.45,212,206.12,208.48,6509.42,1361511.53
2020-04-30 02-PM,ETHUSD,211.34,212.44,210.56,211.45,2014.58,425997.76
2020-04-30 01-PM,ETHUSD,208.96,212.65,207.88,211.34,3671.11,771562.78
2020-04-30 12-PM,ETHUSD,212.11,213.39,207.56,208.96,3275.35,690019.39
2020-04-30 11-AM,ETHUSD,212.77,214.46,212.1,212.11,4910.72,1046204.36
2020-04-30 10-AM,ETHUSD,206.55,213.03,202.4,212.77,12092.04,2518097.38
2020-04-30 09-AM,ETHUSD,216.73,216.73,206.55,206.55,18781.54,3982044.92
2020-04-30 08-AM,ETHUSD,220.4,220.84,216.11,216.73,3832.5,838119.87
2020-04-30 07-AM,ETHUSD,223.48,223.88,216.33,220.4,9429.42,2070069.44
2020-04-30 06-AM,ETHUSD,226.52,227.53,223.48,223.48,5520.33,1242700.52
2020-04-30 05-AM,ETHUSD,222.9,227.33,222.9,226.52,3781.13,849858.72
2020-04-30 04-AM,ETHUSD,226,226.01,219.27,222.9,17388.51,3860445.84
2020-04-30 03-AM,ETHUSD,218.69,226.39,217.43,226,15018.68,3340519.19
2020-04-30 02-AM,ETHUSD,217.6,219,216.42,218.69,2343.27,509188.31
2020-04-30 01-AM,ETHUSD,216.97,218.86,216.68,217.6,3275.07,712433.94
2020-04-30 12-AM,ETHUSD,215.45,217,214.39,216.97,2766.77,596367.8
2020-04-29 11-PM,ETHUSD,214.93,215.74,214.7,215.45,1864.78,401244.54
2020-04-29 10-PM,ETHUSD,215.5,215.73,213.1,214.93,2750.22,589906.33
2020-04-29 09-PM,ETHUSD,216.98,217.29,213.93,215.5,4836.89,1040140.67
2020-04-29 08-PM,ETHUSD,216.34,217,215.71,216.98,2111.56,456844.88
2020-04-29 07-PM,ETHUSD,214.75,216.94,214.75,216.34,2027.09,437686.08
2020-04-29 06-PM,ETHUSD,215.47,216,211.73,214.75,7225.91,1546028.52
2020-04-29 05-PM,ETHUSD,214.74,218.65,214.33,215.47,10940.03,2367697.94
2020-04-29 04-PM,ETHUSD,210.17,219.09,209.46,214.74,21166.83,4550288.76
2020-04-29 03-PM,ETHUSD,210.06,211.34,208.88,210.17,5502.87,1155752.12
2020-04-29 02-PM,ETHUSD,209.01,210.12,208.29,210.06,1868.74,390915.89
2020-04-29 01-PM,ETHUSD,210.67,211.64,207.96,209.01,7920.09,1659619.17
2020-04-29 12-PM,ETHUSD,207.93,210.86,207.9,210.67,5658.48,1185738.59
2020-04-29 11-AM,ETHUSD,208.3,210.28,207.29,207.93,9740.07,2032037.31
2020-04-29 10-AM,ETHUSD,206.57,209.42,206.13,208.3,7233.31,1506027.27
2020-04-29 09-AM,ETHUSD,205.49,207.03,205.28,206.57,1678.05,345910.56
2020-04-29 08-AM,ETHUSD,205.56,206.97,205.36,205.49,3300.33,680790.27
