Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-08-29,LTCUSD,66.82,66.82,62.11,63.54,14421.28,931964.09
2019-08-28,LTCUSD,72.6,72.99,64.63,66.82,19925.55,1368753.77
2019-08-27,LTCUSD,73.56,73.56,72.1,72.6,4510.16,327773.25
2019-08-26,LTCUSD,72.3,75.51,72.3,73.56,4974.95,369545.79
2019-08-25,LTCUSD,73.47,74.82,70.88,72.3,1616.94,116221.45
2019-08-24,LTCUSD,75.57,75.64,71.79,73.47,2840.5,208575.1
2019-08-23,LTCUSD,73.95,76.01,72.19,75.57,4100.82,305273.19
2019-08-22,LTCUSD,72.76,74.56,71.05,73.95,2894.58,211961.78
2019-08-21,LTCUSD,75.11,75.32,69.9,72.76,10834.94,783610.05
2019-08-20,LTCUSD,77.18,77.34,73.68,75.11,3558.11,268481.33
2019-08-19,LTCUSD,76.36,78.84,75.67,77.18,10277.27,792689.96
2019-08-18,LTCUSD,72.74,78.04,71.53,76.36,8284.01,622417.28
2019-08-17,LTCUSD,74.79,75.38,71.82,72.74,4492.7,328337.94
2019-08-16,LTCUSD,76.3,76.46,72.44,74.79,6358.59,472065.18
2019-08-15,LTCUSD,75.41,77.68,70.24,76.3,8279.66,619443.26
2019-08-14,LTCUSD,84.36,85.83,74.77,75.41,17024.35,1353191.26
2019-08-13,LTCUSD,85.66,86.52,82.99,84.36,7413.75,626688.34
2019-08-12,LTCUSD,90.03,90.03,85.37,85.66,8972.27,780504.83
2019-08-11,LTCUSD,85.17,91.46,84.93,90.03,6456.32,573674.83
2019-08-10,LTCUSD,84.36,87.15,81.51,85.17,19209.2,1626685.83
2019-08-09,LTCUSD,89.95,89.95,82.36,84.36,19508.69,1660565.96
2019-08-08,LTCUSD,90.48,92.73,87.7,89.95,8451.02,761184.45
2019-08-07,LTCUSD,92.99,94.3,87.3,90.48,13277.28,1204640.87
2019-08-06,LTCUSD,96.24,99.24,90.97,92.99,11280.95,1064416.21
2019-08-05,LTCUSD,93.17,107.1,92.93,96.24,22899.71,2266335.39
2019-08-04,LTCUSD,94.11,94.73,90.56,93.17,5379.13,498663.61
2019-08-03,LTCUSD,94.99,96.69,93.61,94.11,13609.52,1292704.64
2019-08-02,LTCUSD,98.95,98.95,92.68,94.99,8646.96,830016.56
2019-08-01,LTCUSD,98.89,100.85,96,98.95,7476.53,737271.87
2019-07-31,LTCUSD,90.33,99.85,90.16,98.89,9136.67,879979.68
2019-07-30,LTCUSD,90.26,92.9,88.35,90.33,2911.42,263175.27
2019-07-29,LTCUSD,90.02,92.25,87.81,90.26,7253.78,655022.58
2019-07-28,LTCUSD,88.62,90.79,83.19,90.02,6430.27,566491.05
2019-07-27,LTCUSD,94.5,96.36,86.79,88.62,9431.92,848399.28
2019-07-26,LTCUSD,93.54,95.19,90.19,94.5,5725.79,533864.2
2019-07-25,LTCUSD,94.52,96.66,91.5,93.54,7060.89,665561.56
2019-07-24,LTCUSD,89.8,97.1,87,94.52,15662.89,1440331.97
2019-07-23,LTCUSD,95.13,95.13,88.51,89.8,15426.1,1407336.89
2019-07-22,LTCUSD,99.83,100.94,91.24,95.13,22295.55,2110206.86
2019-07-21,LTCUSD,100.01,101.61,96.43,99.83,3756.18,370299.37
2019-07-20,LTCUSD,98.59,105.99,97.83,100.01,10082.16,1033645.03
2019-07-19,LTCUSD,101.31,101.64,95,98.59,12197.13,1190129.78
2019-07-18,LTCUSD,90.09,104.88,87.14,101.31,30205.55,2893249.18
2019-07-17,LTCUSD,79.75,94.74,77,90.09,44845.16,3940531.35
2019-07-16,LTCUSD,90.76,91.99,76.68,79.75,51202.83,4237564.34
2019-07-15,LTCUSD,89.9,93.62,84.9,90.76,23515.56,2098727.12
2019-07-14,LTCUSD,101.01,101.81,88.05,89.9,22878.25,2126554.21
2019-07-13,LTCUSD,105.15,105.41,97.78,101.01,8988.62,909326.91
2019-07-12,LTCUSD,102.77,107.07,100.79,105.15,7869.81,822284.87
2019-07-11,LTCUSD,108.41,108.41,95.3,102.79,39241.79,3960353.42
2019-07-10,LTCUSD,119.2,120.49,102.43,108.41,78982.55,8564528.84
2019-07-09,LTCUSD,123.36,124.21,117.95,119.2,16803.31,2022451.26
2019-07-08,LTCUSD,120.53,125.19,118.5,123.36,15200.81,1840509.37
2019-07-07,LTCUSD,118.37,121,117.15,120.53,3924.67,466338.41
2019-07-06,LTCUSD,118.5,122.02,117.42,118.37,6225.03,745045.56
2019-07-05,LTCUSD,119.94,120.85,116.68,118.5,11631.59,1377300.7
2019-07-04,LTCUSD,122.08,127.23,118.63,119.94,12656.83,1553309.97
2019-07-03,LTCUSD,118.54,122.93,117.36,122.08,12289.03,1479567.49
2019-07-02,LTCUSD,120.66,120.66,112.07,118.54,23816.92,2780719.33
2019-07-01,LTCUSD,121.51,126.16,113.72,120.66,19482.48,2315571.68
2019-06-30,LTCUSD,133.61,136.5,119.48,121.51,16013.37,2044226.79
