Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-07-06,LTCEUR,70.01,72.24,70,72.24,6.7,474.23
2018-07-05,LTCEUR,75.89,81.8,70.01,70.01,5.099,372.95
2018-07-04,LTCEUR,73.96,81.96,68,75.89,18.87,1389.13
2018-07-03,LTCEUR,72.8,77.01,72.8,73.96,2.941,222.66
2018-07-02,LTCEUR,69.57,72.8,69.57,72.8,1.236,89.32
2018-07-01,LTCEUR,68.93,69.57,68.8,69.57,0.6583,45.38
2018-06-30,LTCEUR,64,68.93,63.3,68.93,5.2,342.21
2018-06-29,LTCEUR,67.93,68.31,63.88,64,7.025,454.42
2018-06-28,LTCEUR,67.93,82.89,67.93,67.93,21.64,1616.13
2018-06-27,LTCEUR,67,73.98,65.03,67.93,5.647,402.65
2018-06-26,LTCEUR,71.19,71.19,67,67,3.762,255.92
2018-06-25,LTCEUR,64,71.63,64,71.19,1.494,106.3
2018-06-24,LTCEUR,72.5,72.5,64,64,2.646,175.45
2018-06-23,LTCEUR,71.8,87.5,71.66,72.5,5.112,398.16
2018-06-22,LTCEUR,90.8,90.8,71,71.8,11.0,829.21
2018-06-21,LTCEUR,94.9,94.9,89.85,90.8,1.519,137.58
2018-06-20,LTCEUR,94.9,94.9,94.9,94.9,0.0,0.0
2018-06-19,LTCEUR,83.68,94.9,83.68,94.9,5.243,464.68
2018-06-18,LTCEUR,83.67,83.68,81.91,83.68,1.436,119.33
2018-06-17,LTCEUR,82.31,83.67,82.31,83.67,0.7412,62.0
2018-06-16,LTCEUR,83.32,83.5,81.76,82.31,13.53,1126.45
2018-06-15,LTCEUR,96.8,96.8,83.32,83.32,9.778,879.46
2018-06-14,LTCEUR,84.96,96.8,81.4,96.8,6.381,544.04
2018-06-13,LTCEUR,98.99,98.99,81.1,84.96,2.629,215.3
2018-06-12,LTCEUR,105.3,105.3,90.2,98.99,4.097,392.24
2018-06-11,LTCEUR,85,107,85,105.3,2.05,218.61
2018-06-10,LTCEUR,103,109.89,85,85,10.99,972.52
2018-06-09,LTCEUR,113.99,113.99,69,103,22.07,2150.86
2018-06-08,LTCEUR,116.96,116.96,102.96,113.99,10.69,1214.41
2018-06-07,LTCEUR,100,116.96,100,116.96,0.0725,8.48
2018-06-06,LTCEUR,119.17,147.5,100,100,25.72,3154.27
2018-06-05,LTCEUR,103.45,133,69,119.17,13.05,1414.75
2018-06-04,LTCEUR,107.29,107.96,103.45,103.45,3.9,407.97
2018-06-03,LTCEUR,104.58,121.99,104.58,107.29,2.767,296.45
2018-06-02,LTCEUR,125.96,125.96,104.58,104.58,10.62,1162.56
2018-06-01,LTCEUR,105,125.96,105,125.96,1.641,200.0
2018-05-31,LTCEUR,102.83,105,82.1,105,3.785,373.6
2018-05-30,LTCEUR,103.67,104.36,102.14,102.83,0.9078,93.9
2018-05-29,LTCEUR,100.28,105.49,95,103.67,2.679,261.36
2018-05-28,LTCEUR,100.28,100.28,100.28,100.28,0.0,0.0
2018-05-27,LTCEUR,100.28,100.28,100.28,100.28,0.0,0.0
2018-05-26,LTCEUR,101.96,101.96,100.28,100.28,0.0565,5.666
2018-05-25,LTCEUR,105,118.96,101,101.96,1.213,132.57
2018-05-24,LTCEUR,105.56,105.56,105,105,0.8705,91.4
2018-05-23,LTCEUR,130.5,130.5,105.56,105.56,0.5899,62.55
2018-05-22,LTCEUR,113.41,130.5,113.41,130.5,2.047,245.35
2018-05-21,LTCEUR,113.41,113.41,113.41,113.41,0.0,0.0
2018-05-20,LTCEUR,113.41,113.41,113.41,113.41,0.0,0.0
2018-05-19,LTCEUR,100,113.41,100,113.41,0.7591,86.08
2018-05-18,LTCEUR,115,135,100,100,10.02,1073.12
2018-05-17,LTCEUR,118.48,118.48,115,115,0.0272,3.128
2018-05-16,LTCEUR,118.48,118.48,118.48,118.48,0.0,0.0
2018-05-15,LTCEUR,124.78,124.78,118.48,118.48,2.222,269.67
