Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-07-11,BCHUSD,634,634,634,634,0.0,0.0
2018-07-10,BCHUSD,829,829,634,634,0.2675,190.67
2018-07-09,BCHUSD,829,829,829,829,0.0,0.0
2018-07-08,BCHUSD,829,829,829,829,0.002244,1.86
2018-07-07,BCHUSD,829,829,829,829,0.0,0.0
2018-07-06,BCHUSD,829,829,829,829,0.0,0.0
2018-07-05,BCHUSD,829,829,829,829,0.0,0.0
2018-07-04,BCHUSD,624,855,624,829,0.4114,343.88
2018-07-03,BCHUSD,870,870,588,624,0.5486,347.93
2018-07-02,BCHUSD,701,870,701,870,0.02958,25.74
2018-07-01,BCHUSD,701,701,701,701,0.0,0.0
2018-06-30,BCHUSD,701,701,701,701,0.0,0.0
2018-06-29,BCHUSD,668,701,668,701,0.001627,1.14
2018-06-28,BCHUSD,711,919,668,668,0.05605,51.31
2018-06-27,BCHUSD,711,711,711,711,0.0,0.0
2018-06-26,BCHUSD,800,922.96,711,711,0.02287,18.69
2018-06-25,BCHUSD,800,800,800,800,0.0,0.0
2018-06-24,BCHUSD,800,800,800,800,0.0,0.0
2018-06-23,BCHUSD,800,800,800,800,0.0,0.0
2018-06-22,BCHUSD,890,890,800,800,0.5339,434.31
2018-06-21,BCHUSD,890,890,890,890,0.0,0.0
2018-06-20,BCHUSD,890,890,890,890,0.0,0.0
2018-06-19,BCHUSD,940,940,890,890,0.1826,162.54
2018-06-18,BCHUSD,940,940,940,940,0.0,0.0
2018-06-17,BCHUSD,940,940,940,940,0.0,0.0
2018-06-16,BCHUSD,915.74,940,915.74,940,0.01966,18.48
2018-06-15,BCHUSD,915.74,915.74,915.74,915.74,0.0,0.0
2018-06-14,BCHUSD,915.74,915.74,915.74,915.74,0.0,0.0
2018-06-13,BCHUSD,915.74,915.74,915.74,915.74,0.0,0.0
2018-06-12,BCHUSD,930,930,915.74,915.74,0.1011,92.55
2018-06-11,BCHUSD,1032.28,1032.28,898,930,0.1987,187.78
2018-06-10,BCHUSD,947,1280.96,810,1032.28,1.068,1115.06
2018-06-09,BCHUSD,938,947,938,947,0.0007471,0.7075
2018-06-08,BCHUSD,938,1178,938,938,0.04766,50.85
2018-06-07,BCHUSD,930.03,1178,930.03,938,0.005606,6.436
2018-06-06,BCHUSD,930.03,930.03,930.03,930.03,0.0,0.0
2018-06-05,BCHUSD,930.03,930.03,930.03,930.03,0.0,0.0
2018-06-04,BCHUSD,1140,1140,928.03,930.03,0.1904,177.23
2018-06-03,BCHUSD,833,1140,833,1140,0.1405,159.82
2018-06-02,BCHUSD,833,833,833,833,0.0,0.0
