Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2019-12-13,EOSUSD,1.957,1.957,1.851,1.908,25.14,47.39
2019-12-12,EOSUSD,1.9,1.957,1.857,1.957,20.3,38.52
2019-12-11,EOSUSD,1.898,1.95,1.798,1.9,70.73,135.81
2019-12-10,EOSUSD,2.017,2.017,1.898,1.898,240.58,463.78
2019-12-09,EOSUSD,1.987,2.117,1.987,2.017,313.52,642.84
2019-12-08,EOSUSD,1.911,2.055,1.911,1.987,362.62,733.65
2019-12-07,EOSUSD,2.253,2.5,1.907,1.911,875.56,1844.54
2019-12-06,EOSUSD,2.05,2.6,2,2.253,2310.25,5731.98
2019-12-05,EOSUSD,2.05,2.121,2,2.05,88.83,183.08
2019-12-04,EOSUSD,2.071,2.071,1.92,2.05,319.54,655.8
2019-12-03,EOSUSD,2.072,2.099,2.056,2.071,118.93,247.27
2019-12-02,EOSUSD,2.171,2.193,2.072,2.072,299.75,645.82
2019-12-01,EOSUSD,2.234,2.234,2.072,2.171,30.73,65.96
2019-11-30,EOSUSD,2.26,2.309,2.175,2.234,138.56,312.38
2019-11-29,EOSUSD,2.265,2.34,2.26,2.26,224.53,511.76
2019-11-28,EOSUSD,2.263,2.383,2.22,2.265,394.59,904.32
2019-11-27,EOSUSD,2.161,2.33,2.15,2.263,617.17,1399.16
2019-11-26,EOSUSD,2.22,2.25,2.15,2.161,428.44,942.71
2019-11-25,EOSUSD,2.11,2.24,2.02,2.22,575.97,1241.78
2019-11-24,EOSUSD,2.31,2.31,2.11,2.11,618.17,1348.63
2019-11-23,EOSUSD,2.25,2.4,2.137,2.31,514.03,1176.76
2019-11-22,EOSUSD,2.366,2.519,2.119,2.25,1068.64,2414.11
2019-11-21,EOSUSD,2.54,2.6,2.2,2.366,860.69,2049.31
2019-11-20,EOSUSD,2.467,2.564,2.467,2.54,113.91,289.03
2019-11-19,EOSUSD,2.51,2.6,2.467,2.467,953.97,2415.04
2019-11-18,EOSUSD,2.83,2.83,2.502,2.51,769.41,1976.68
2019-11-17,EOSUSD,2.688,2.83,2.538,2.83,637.31,1706.46
2019-11-16,EOSUSD,2.77,2.83,2.5,2.688,2092.31,5399.92
2019-11-15,EOSUSD,2.701,2.834,2.67,2.77,1796.01,4925.77
2019-11-14,EOSUSD,2.61,2.701,2.604,2.701,1088.16,2906.3
2019-11-13,EOSUSD,2.6,2.68,2.5,2.61,811.67,2096.23
2019-11-12,EOSUSD,2.652,2.716,2.573,2.6,741.06,1951.35
2019-11-11,EOSUSD,2.68,2.716,2.652,2.652,365.71,973.55
2019-11-10,EOSUSD,2.712,2.813,2.672,2.68,406.39,1122.12
2019-11-09,EOSUSD,2.685,2.876,2.652,2.712,343.73,952.79
2019-11-08,EOSUSD,2.722,2.79,2.685,2.685,74.46,201.78
2019-11-07,EOSUSD,2.794,2.93,2.652,2.722,365.05,991.0
2019-11-06,EOSUSD,2.872,2.972,2.7,2.794,367.87,1034.89
2019-11-05,EOSUSD,2.9,2.98,2.782,2.872,198.1,576.72
2019-11-04,EOSUSD,2.981,2.982,2.722,2.9,129.23,369.1
2019-11-03,EOSUSD,2.964,2.99,2.862,2.981,164.18,483.3
2019-11-02,EOSUSD,2.85,2.964,2.821,2.964,71.21,205.41
2019-11-01,EOSUSD,2.892,3,2.782,2.85,691.44,2017.54
2019-10-31,EOSUSD,2.89,2.893,2.628,2.892,842.33,2400.39
2019-10-30,EOSUSD,2.841,2.89,2.668,2.89,448.72,1262.2
2019-10-29,EOSUSD,2.7,2.893,2.6,2.841,521.31,1453.78
2019-10-28,EOSUSD,2.849,2.849,2.645,2.7,182.94,495.21
2019-10-27,EOSUSD,2.754,2.849,2.64,2.849,261.85,714.42
2019-10-26,EOSUSD,2.756,2.894,2.639,2.754,971.37,2668.42
2019-10-25,EOSUSD,2.5,2.791,2.401,2.756,785.48,2085.22
2019-10-24,EOSUSD,2.579,2.678,2.474,2.5,408.82,1067.22
2019-10-23,EOSUSD,2.792,2.85,2.523,2.579,450.98,1235.78
2019-10-22,EOSUSD,2.646,2.891,2.2,2.792,2406.1,6424.87
2019-10-21,EOSUSD,2.567,2.774,2.495,2.646,627.26,1650.53
2019-10-20,EOSUSD,2.745,2.79,2.55,2.567,481.49,1241.26
2019-10-19,EOSUSD,2.792,2.842,2.674,2.745,156.59,432.17
2019-10-18,EOSUSD,2.861,2.861,2.746,2.792,33.65,92.87
2019-10-17,EOSUSD,2.932,2.94,2.726,2.861,135.98,379.6
2019-10-16,EOSUSD,2.867,2.932,2.8,2.932,161.28,461.41
2019-10-15,EOSUSD,2.837,3.025,2.836,2.867,378.54,1107.3
2019-10-14,EOSUSD,2.97,2.989,2.836,2.837,60.78,176.76
2019-10-13,EOSUSD,2.881,3.023,2.881,2.97,132.95,392.46
2019-10-12,EOSUSD,2.95,3.025,2.836,2.881,253.68,740.28
2019-10-11,EOSUSD,2.93,3.025,2.86,2.95,159.3,470.21
2019-10-10,EOSUSD,3,3.05,2.899,2.93,405.82,1215.27
2019-10-09,EOSUSD,3.016,3.099,2.896,3,125.78,379.71
2019-10-08,EOSUSD,2.942,3.016,2.759,3.016,460.62,1332.82
2019-10-07,EOSUSD,2.848,2.99,2.833,2.942,61.86,180.8
2019-10-06,EOSUSD,2.868,2.95,2.845,2.848,174.72,503.49
2019-10-05,EOSUSD,2.952,2.964,2.809,2.868,144.24,421.5
2019-10-04,EOSUSD,2.817,2.952,2.807,2.952,179.87,526.96
2019-10-03,EOSUSD,2.858,2.981,2.817,2.817,359.46,1053.72
2019-10-02,EOSUSD,2.93,2.994,2.858,2.858,439.61,1290.44
2019-10-01,EOSUSD,2.799,2.95,2.799,2.93,629.67,1824.91
2019-09-30,EOSUSD,2.722,2.9,2.56,2.799,711.55,1972.61
2019-09-29,EOSUSD,2.864,2.864,2.722,2.722,36.79,101.46
2019-09-28,EOSUSD,2.94,2.94,2.727,2.864,291.87,842.34
2019-09-27,EOSUSD,2.666,2.941,2.636,2.94,742.27,2124.12
2019-09-26,EOSUSD,2.717,2.77,2.577,2.666,265.17,713.99
2019-09-25,EOSUSD,2.837,2.837,2.55,2.717,1338.19,3525.16
2019-09-24,EOSUSD,3.403,3.487,2.55,2.837,1036.44,3046.01
2019-09-23,EOSUSD,3.3,3.5,3.3,3.403,150.45,514.41
2019-09-22,EOSUSD,3.445,3.581,3.3,3.3,145.23,491.29
2019-09-21,EOSUSD,3.51,3.584,3.445,3.445,47.71,166.63
2019-09-20,EOSUSD,3.61,3.666,3.445,3.51,167.11,590.11
2019-09-19,EOSUSD,3.51,3.75,3.434,3.61,914.68,3310.24
2019-09-18,EOSUSD,3.54,3.622,3.5,3.51,622.68,2220.56
2019-09-17,EOSUSD,3.599,3.75,3.395,3.54,502.17,1804.72
2019-09-16,EOSUSD,3.35,3.75,3.344,3.599,501.57,1780.82
2019-09-15,EOSUSD,3.5,3.8,3.35,3.35,877.91,3127.26
2019-09-14,EOSUSD,3.439,3.5,3.3,3.5,405.97,1396.26
2019-09-13,EOSUSD,3.42,3.439,3.29,3.439,152.65,509.31
2019-09-12,EOSUSD,3.3,3.42,3.3,3.42,165.4,552.94
2019-09-11,EOSUSD,3.29,3.412,3.29,3.3,390.09,1298.26
2019-09-10,EOSUSD,3.28,3.503,3.28,3.29,658.28,2210.35
2019-09-09,EOSUSD,3.199,3.518,3.199,3.28,1242.33,4269.73
2019-09-08,EOSUSD,3.252,3.402,3.128,3.199,111.49,364.33
2019-09-07,EOSUSD,3.225,3.276,3.128,3.252,45.64,145.42
2019-09-06,EOSUSD,3.19,3.291,3.128,3.225,888.19,2787.93
2019-09-05,EOSUSD,3.219,3.38,3.19,3.19,42.32,136.19
2019-09-04,EOSUSD,3.277,3.552,3.219,3.219,177.81,607.01
2019-09-03,EOSUSD,3.207,3.489,3.2,3.277,262.6,878.13
2019-09-02,EOSUSD,3.31,3.31,3.025,3.207,893.36,2851.71
2019-09-01,EOSUSD,3.355,3.449,3.177,3.31,458.05,1467.75
2019-08-31,EOSUSD,3.28,3.355,3.185,3.355,398.35,1316.56
2019-08-30,EOSUSD,3.308,3.308,3.188,3.28,121.26,393.93
2019-08-29,EOSUSD,3.21,3.33,3.201,3.308,154.61,502.64
2019-08-28,EOSUSD,3.5,3.5,3.21,3.21,366.45,1235.34
