Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2019-10-10,DASHUSD,76.13,78.59,74.2,74.74,24.02,1814.84
2019-10-09,DASHUSD,73.84,78.95,73.84,76.13,52.44,4107.04
2019-10-08,DASHUSD,74.59,77.74,73.84,73.84,62.59,4847.96
2019-10-07,DASHUSD,76.16,76.59,72.5,74.59,52.32,4003.89
2019-10-06,DASHUSD,74,76.68,73.33,76.16,4.163,314.97
2019-10-05,DASHUSD,75.47,75.47,74,74,1.377,101.89
2019-10-04,DASHUSD,75.76,76.08,72.75,75.47,173.25,13121.5
2019-10-03,DASHUSD,76.57,76.57,72.31,75.76,94.77,7169.75
2019-10-02,DASHUSD,74.64,77.65,73.83,76.57,2.579,198.6
2019-10-01,DASHUSD,75.97,77.87,74.64,74.64,8.408,637.38
2019-09-30,DASHUSD,72.97,76,72.72,75.97,7.441,560.61
2019-09-29,DASHUSD,78.31,78.31,72.5,72.97,3.377,249.86
2019-09-28,DASHUSD,76.21,78.31,75.26,78.31,2.751,210.66
2019-09-27,DASHUSD,73.32,76.67,72.6,76.21,1.347,100.97
2019-09-26,DASHUSD,76.24,81.2,72.26,73.32,10.71,817.52
2019-09-25,DASHUSD,82.26,82.26,74.62,76.24,11.17,864.29
2019-09-24,DASHUSD,91.09,93.66,73.44,82.26,21.72,1803.54
2019-09-23,DASHUSD,95,103.78,90,91.09,7.461,698.66
2019-09-22,DASHUSD,97.3,99.1,95,95,4.145,402.34
2019-09-21,DASHUSD,99,102.15,97.3,97.3,1.732,174.65
2019-09-20,DASHUSD,105.67,105.67,99,99,1.928,192.04
2019-09-19,DASHUSD,102.76,107.91,94.19,105.67,6.908,714.29
2019-09-18,DASHUSD,98.11,102.89,98,102.76,4.974,490.88
2019-09-17,DASHUSD,96.6,101.5,92.52,98.11,18.31,1824.04
2019-09-16,DASHUSD,92,96.6,90.38,96.6,0.463,43.16
2019-09-15,DASHUSD,95,95,92,92,7.798,720.08
