Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume BTC
2019-01-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-01-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-31,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
