Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-07-14,ETHUSD,263.29,283.31,230,230,85.43,21456.55
2019-07-13,ETHUSD,274.79,274.79,263.29,263.29,0.06689,17.62
2019-07-12,ETHUSD,267.11,274.79,267.11,274.79,1.265,347.49
2019-07-11,ETHUSD,290,298.43,261,267.11,12.35,3400.7
2019-07-10,ETHUSD,308,315,288.69,290,17.53,5232.76
2019-07-09,ETHUSD,314,319.94,308,308,6.046,1904.3
2019-07-08,ETHUSD,307.88,316.47,301.66,314,69.05,21347.46
2019-07-07,ETHUSD,272.97,307.88,272.97,307.88,3.908,1194.38
2019-07-06,ETHUSD,299.97,299.97,272.97,272.97,0.1832,51.19
2019-07-05,ETHUSD,283.98,316.5,283.98,299.97,11.24,3461.44
2019-07-04,ETHUSD,300,313,255,283.98,127.36,36239.71
2019-07-03,ETHUSD,287.86,318,287.86,300,8.395,2556.86
2019-07-02,ETHUSD,287,290.38,274.85,287.86,48.29,13815.32
2019-07-01,ETHUSD,299,299,280,287,63.47,18172.42
2019-06-30,ETHUSD,306.94,321,296,299,5.69,1743.31
2019-06-29,ETHUSD,307,314.01,304.9,306.94,8.68,2705.58
2019-06-28,ETHUSD,292.57,322,292.57,307,11.54,3592.27
2019-06-27,ETHUSD,305,350,280,292.57,130.08,38673.45
2019-06-26,ETHUSD,316,362.91,305,305,120.34,41365.81
2019-06-25,ETHUSD,309.65,316,301.2,316,20.06,6192.75
2019-06-24,ETHUSD,306.01,315,300,309.65,36.3,11189.06
2019-06-23,ETHUSD,301,322.09,301,306.01,15.6,4800.25
2019-06-22,ETHUSD,285.71,312,285.71,301,32.47,9834.99
2019-06-21,ETHUSD,271.12,299,271.12,285.71,104.27,29941.72
2019-06-20,ETHUSD,267.22,271.12,267.22,271.12,3.332,896.87
2019-06-19,ETHUSD,262.46,269.21,262.46,267.22,3.166,849.22
2019-06-18,ETHUSD,272.79,272.79,262.46,262.46,14.94,3969.87
2019-06-17,ETHUSD,269.83,274.25,269.06,272.79,164.85,44857.41
2019-06-16,ETHUSD,265,273.5,255,269.83,59.5,16042.38
2019-06-15,ETHUSD,260.25,270,250.87,265,22.84,6058.31
2019-06-14,ETHUSD,254.92,269.04,253.16,260.25,3.704,951.81
2019-06-13,ETHUSD,262,263.41,250,254.92,51.13,13219.01
2019-06-12,ETHUSD,247.42,262,247.42,262,127.93,32655.17
2019-06-11,ETHUSD,244.05,247.42,238.6,247.42,5.884,1434.4
2019-06-10,ETHUSD,232.09,246.4,232.09,244.05,22.18,5446.71
2019-06-09,ETHUSD,251,251,232.09,232.09,2.834,662.6
2019-06-08,ETHUSD,251,251,251,251,0.0,0.0
2019-06-07,ETHUSD,248,251,246.91,251,3.879,966.2
2019-06-06,ETHUSD,246.63,248,235,248,33.62,8174.42
