Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2019-08-03,XEMUSD,0.06425,0.068,0.06425,0.068,5.671,0.3856
2019-08-02,XEMUSD,0.06544,0.06544,0.06406,0.06425,701.23,45.14
2019-08-01,XEMUSD,0.06544,0.06544,0.06544,0.06544,0.0,0.0
2019-07-31,XEMUSD,0.06515,0.06544,0.06515,0.06544,800.06,52.34
2019-07-30,XEMUSD,0.06539,0.06908,0.06515,0.06515,2070.35,142.74
2019-07-29,XEMUSD,0.06549,0.06557,0.06539,0.06539,531.41,34.76
2019-07-28,XEMUSD,0.07122,0.07122,0.06549,0.06549,211.99,14.24
2019-07-27,XEMUSD,0.07158,0.07158,0.06717,0.07122,517.94,35.22
2019-07-26,XEMUSD,0.07084,0.07158,0.07084,0.07158,11.61,0.8309
2019-07-25,XEMUSD,0.06996,0.07084,0.06996,0.07084,135.1,9.564
2019-07-24,XEMUSD,0.06784,0.06996,0.06784,0.06996,261.06,18.26
2019-07-23,XEMUSD,0.0501,0.07049,0.0501,0.06784,81.78,5.694
2019-07-22,XEMUSD,0.06932,0.06932,0.0501,0.0501,7091.73,386.07
2019-07-21,XEMUSD,0.074,0.074,0.06932,0.06932,1635.95,114.78
2019-07-20,XEMUSD,0.07,0.074,0.07,0.074,81.79,5.97
2019-07-19,XEMUSD,0.0701,0.0701,0.06702,0.07,8.238,0.5605
2019-07-18,XEMUSD,0.07,0.07483,0.066,0.0701,2778.49,200.17
2019-07-17,XEMUSD,0.06512,0.07691,0.0634,0.07,3814.53,250.68
2019-07-16,XEMUSD,0.07691,0.08501,0.06512,0.06512,2867.35,203.03
2019-07-15,XEMUSD,0.07,0.07691,0.06535,0.07691,3138.91,223.05
2019-07-14,XEMUSD,0.07744,0.08219,0.07,0.07,3385.72,251.83
2019-07-13,XEMUSD,0.08087,0.08611,0.07744,0.07744,4287.5,354.39
2019-07-12,XEMUSD,0.08203,0.08253,0.0792,0.08087,820.36,66.44
2019-07-11,XEMUSD,0.085,0.08524,0.08203,0.08203,2992.39,253.49
2019-07-10,XEMUSD,0.08635,0.088,0.085,0.085,2077.99,179.07
2019-07-09,XEMUSD,0.09318,0.09318,0.08616,0.08635,1850.48,167.75
2019-07-08,XEMUSD,0.09318,0.09318,0.09318,0.09318,0.0,0.0
2019-07-07,XEMUSD,0.09497,0.09497,0.09102,0.09318,345.29,31.43
2019-07-06,XEMUSD,0.09102,0.09497,0.09102,0.09497,173.14,15.91
2019-07-05,XEMUSD,0.09381,0.09436,0.09102,0.09102,393.15,35.9
2019-07-04,XEMUSD,0.09448,0.09448,0.08691,0.09381,1043.0,94.4
2019-07-03,XEMUSD,0.0929,0.09573,0.085,0.09448,803.13,74.06
2019-07-02,XEMUSD,0.09578,0.09578,0.08624,0.0929,14161.92,1236.84
2019-07-01,XEMUSD,0.096,0.09757,0.0876,0.09578,1323.3,121.09
2019-06-30,XEMUSD,0.1032,0.1032,0.0751,0.096,4665.98,418.88
2019-06-29,XEMUSD,0.09978,0.1035,0.09477,0.1032,467.06,48.01
2019-06-28,XEMUSD,0.08485,0.1031,0.08485,0.09978,5106.24,504.17
2019-06-27,XEMUSD,0.0954,0.1073,0.07,0.08485,16017.31,1358.82
2019-06-26,XEMUSD,0.09007,0.1109,0.09007,0.0954,18576.22,1938.96
2019-06-25,XEMUSD,0.09,0.0906,0.09,0.09007,1101.11,99.33
2019-06-24,XEMUSD,0.09138,0.09587,0.0896,0.09,1137.35,106.18
2019-06-23,XEMUSD,0.09254,0.0962,0.0898,0.09138,4284.91,398.39
2019-06-22,XEMUSD,0.08643,0.096,0.08643,0.09254,4814.43,433.63
2019-06-21,XEMUSD,0.08627,0.0885,0.08627,0.08643,5665.44,489.76
2019-06-20,XEMUSD,0.088,0.0906,0.08627,0.08627,931.37,80.82
2019-06-19,XEMUSD,0.08843,0.08843,0.08689,0.088,5.844,0.5093
2019-06-18,XEMUSD,0.08846,0.09128,0.08843,0.08843,2174.19,192.28
2019-06-17,XEMUSD,0.0874,0.08888,0.0874,0.08846,2278.72,201.87
2019-06-16,XEMUSD,0.08666,0.09244,0.08666,0.0874,6086.97,546.67
2019-06-15,XEMUSD,0.08668,0.08668,0.08666,0.08666,1.486,0.1287
2019-06-14,XEMUSD,0.08927,0.08997,0.08668,0.08668,794.77,69.65
2019-06-13,XEMUSD,0.08942,0.09098,0.08927,0.08927,1779.84,158.92
2019-06-12,XEMUSD,0.09,0.09195,0.08632,0.08942,1940.35,174.59
2019-06-11,XEMUSD,0.08605,0.09513,0.08,0.09,3277.22,284.62
2019-06-10,XEMUSD,0.08439,0.08787,0.08439,0.08605,1965.02,168.4
2019-06-09,XEMUSD,0.08692,0.09,0.08422,0.08439,539.16,46.49
2019-06-08,XEMUSD,0.09148,0.09148,0.08665,0.08692,221.25,19.23
2019-06-07,XEMUSD,0.08272,0.09148,0.08272,0.09148,996.49,87.88
2019-06-06,XEMUSD,0.08272,0.08376,0.08272,0.08272,2144.04,177.68
2019-06-05,XEMUSD,0.08275,0.08816,0.08272,0.08272,17378.97,1496.3
2019-06-04,XEMUSD,0.09115,0.09364,0.08272,0.08275,3913.53,350.04
