Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESUSD
2018-05-28,WAVESUSD,4.535,4.589,4.06,4.06,3735.45,15909.18
2018-05-27,WAVESUSD,4.63,4.76,4.501,4.535,1917.97,8814.25
2018-05-26,WAVESUSD,4.732,4.85,4.6,4.63,3220.43,15264.01
2018-05-25,WAVESUSD,4.891,5.065,4.685,4.732,4186.38,20397.51
2018-05-24,WAVESUSD,4.831,5.148,4.52,4.891,5259.26,25438.44
2018-05-23,WAVESUSD,5.505,5.614,4.55,4.831,6871.76,34967.21
2018-05-22,WAVESUSD,5.994,6.096,5.448,5.505,2597.4,14832.75
2018-05-21,WAVESUSD,6.208,6.299,5.925,5.994,2255.17,13676.91
2018-05-20,WAVESUSD,6.18,6.279,6.042,6.208,1717.19,10591.6
2018-05-19,WAVESUSD,6.323,6.323,5.986,6.18,1827.62,11264.44
2018-05-18,WAVESUSD,5.95,6.323,5.8,6.323,3840.32,23093.87
2018-05-17,WAVESUSD,6.409,6.542,5.93,5.95,2302.64,14450.22
2018-05-16,WAVESUSD,6.361,6.693,6.05,6.409,3952.31,25159.45
2018-05-15,WAVESUSD,6.871,7.033,6.35,6.361,2467.0,16506.97
2018-05-14,WAVESUSD,7.019,7.098,6.35,6.871,4508.47,30089.37
2018-05-13,WAVESUSD,6.526,7.122,6.286,7.019,3142.26,21449.86
2018-05-12,WAVESUSD,6.23,6.54,6.14,6.526,1900.52,12043.68
2018-05-11,WAVESUSD,6.63,6.76,5.93,6.23,6735.12,42308.82
2018-05-10,WAVESUSD,6.69,7.05,6.55,6.63,2349.13,15935.72
2018-05-09,WAVESUSD,6.535,6.82,6.17,6.69,3307.83,21658.75
2018-05-08,WAVESUSD,6.703,6.951,6.42,6.535,3625.53,23903.61
2018-05-07,WAVESUSD,7.153,7.153,6.35,6.703,4393.99,28897.01
2018-05-06,WAVESUSD,7.316,7.316,6.799,7.153,2608.85,18207.97
2018-05-05,WAVESUSD,7.581,7.746,7.22,7.316,2183.36,16293.38
