Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2018-11-28,BTCEUR,3346.15,3833.22,3346.15,3696.08,54.61,200026.47
2018-11-27,BTCEUR,3292.27,3416.7,3235.42,3346.15,7.697,25520.92
2018-11-26,BTCEUR,3490.72,3588.27,3152.31,3292.27,80.24,268263.15
2018-11-25,BTCEUR,3357.75,3591.24,3056.51,3490.72,9.451,31200.57
2018-11-24,BTCEUR,3783.35,3833.51,3250.01,3357.75,14.07,50525.77
2018-11-23,BTCEUR,3790.65,3801.29,3651.66,3783.35,105.62,396888.01
2018-11-22,BTCEUR,3946.43,3992,3773.3,3790.65,40.26,157695.12
2018-11-21,BTCEUR,3808.6,4050.85,3808.6,3946.43,42.47,169306.44
2018-11-20,BTCEUR,4245,4245,3608.03,3808.6,44.62,172275.66
2018-11-19,BTCEUR,4863.33,4879.22,4149.99,4245,32.09,142705.07
2018-11-18,BTCEUR,4816.71,4924.51,4810.67,4863.33,1.366,6639.19
2018-11-17,BTCEUR,4823.31,4912.73,4776.25,4816.71,4.736,22946.04
2018-11-16,BTCEUR,4931,4955.4,4785,4823.31,6.846,33695.62
2018-11-15,BTCEUR,4935.14,5449,4665.35,4931,15.52,77778.17
2018-11-14,BTCEUR,5560,5640.54,4761.13,4935.14,33.9,179807.92
2018-11-13,BTCEUR,5621.99,5676.39,5560,5560,105.87,594297.95
2018-11-12,BTCEUR,5593.31,5688.87,5593.31,5621.99,44.33,250280.85
2018-11-11,BTCEUR,5601.18,5667.85,5570,5593.31,2.17,12132.8
2018-11-10,BTCEUR,5576.27,5702.74,5576,5601.18,16.97,95243.71
2018-11-09,BTCEUR,5631.94,5668.79,5570,5576.27,44.38,249972.41
2018-11-08,BTCEUR,5689.35,5690,606,5631.94,28.84,140155.59
2018-11-07,BTCEUR,5630.02,5719.87,5595.48,5689.35,12.88,73215.9
2018-11-06,BTCEUR,5603.05,5670,5555.33,5630.02,10.69,60225.65
2018-11-05,BTCEUR,5624.32,5640.1,5516,5603.05,12.56,70357.95
2018-11-04,BTCEUR,5563.48,5638.51,5524,5624.32,5.269,29509.67
2018-11-03,BTCEUR,5580,5613,5550.01,5563.48,4.312,24090.97
2018-11-02,BTCEUR,5507.64,5620,5503.47,5580,58.98,327362.49
2018-11-01,BTCEUR,5572.01,5623.59,5507.64,5507.64,128.51,709853.69
2018-10-31,BTCEUR,5520.01,5632.01,5470,5572.01,140.23,777882.4
2018-10-30,BTCEUR,5518.53,5546,5485,5520.01,74.93,413715.09
2018-10-29,BTCEUR,5619.81,5632.01,5484.4,5518.53,17.03,94288.97
2018-10-28,BTCEUR,5625.01,5625.02,5616.07,5619.81,0.2661,1494.94
2018-10-27,BTCEUR,5639,5642.99,5609.3,5625.01,0.7845,4408.49
2018-10-26,BTCEUR,5622.87,5689,5574.6,5639,1.918,10827.15
2018-10-25,BTCEUR,5638.03,5677.98,5401,5622.87,13.59,75861.22
2018-10-24,BTCEUR,5576.75,5700,5572.05,5638.03,19.11,108175.41
2018-10-23,BTCEUR,5588.33,5661.69,5554.71,5576.75,42.27,237473.84
2018-10-22,BTCEUR,5599.9,5645,5470.01,5588.33,155.57,866486.59
2018-10-21,BTCEUR,5564.89,5649.95,5500.37,5599.9,154.38,864023.22
2018-10-20,BTCEUR,5555.29,5665.18,5452,5564.89,10.72,59856.08
2018-10-19,BTCEUR,5572.01,5585.86,5511.58,5555.29,18.57,103345.39
2018-10-18,BTCEUR,5621.47,5625.11,5450.01,5572.01,16.12,89468.7
2018-10-17,BTCEUR,5586.41,5658.8,5570.67,5621.47,17.09,96011.13
2018-10-16,BTCEUR,5561.92,5681.33,5510.01,5586.41,17.56,98088.9
2018-10-15,BTCEUR,5384.51,5791,5350.02,5561.92,29.06,161306.18
2018-10-14,BTCEUR,5391.4,5444.41,5379.49,5384.51,6.221,33656.51
2018-10-13,BTCEUR,5411.8,5444.05,5388.15,5391.4,15.08,81438.82
2018-10-12,BTCEUR,5344.15,5446.23,5343.37,5411.8,12.26,66218.28
2018-10-11,BTCEUR,5678.16,5679.33,5300.01,5344.15,32.37,176770.21
2018-10-10,BTCEUR,5727.09,5731.13,5625.02,5678.16,16.03,90933.28
2018-10-09,BTCEUR,5796.99,5800,5715.1,5727.09,26.4,152126.44
2018-10-08,BTCEUR,5699.65,5800,5674.3,5796.99,21.63,124361.78
