Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DGB,Volume BTC
2019-10-05,DGBBTC,9.0e-07,9.1e-07,8.9e-07,9.1e-07,104064.39,0.09277
2019-10-04,DGBBTC,8.9e-07,9.1e-07,8.9e-07,9.0e-07,47311.42,0.04222
2019-10-03,DGBBTC,8.9e-07,9.1e-07,8.8e-07,8.9e-07,19484.73,0.01752
2019-10-02,DGBBTC,8.9e-07,9.1e-07,8.9e-07,8.9e-07,56384.57,0.05048
2019-10-01,DGBBTC,9.1e-07,9.3e-07,8.9e-07,8.9e-07,31163.19,0.02797
2019-09-30,DGBBTC,9.4e-07,9.4e-07,8.8e-07,9.1e-07,72538.41,0.06522
2019-09-29,DGBBTC,9.3e-07,9.4e-07,8.8e-07,9.4e-07,30526.19,0.02812
2019-09-28,DGBBTC,9.3e-07,9.4e-07,9.0e-07,9.3e-07,43691.59,0.04025
2019-09-27,DGBBTC,9.1e-07,9.5e-07,8.9e-07,9.3e-07,26558.35,0.02464
2019-09-26,DGBBTC,8.3e-07,9.3e-07,8.1e-07,9.1e-07,356989.69,0.3137
2019-09-25,DGBBTC,7.7e-07,8.5e-07,7.7e-07,8.3e-07,107952.18,0.08855
2019-09-24,DGBBTC,7.7e-07,8.1e-07,7.5e-07,7.7e-07,160734.25,0.1273
2019-09-23,DGBBTC,8.0e-07,8.0e-07,6.7e-07,7.7e-07,177503.84,0.1338
2019-09-22,DGBBTC,8.0e-07,8.0e-07,7.5e-07,8.0e-07,113487.12,0.0888
2019-09-21,DGBBTC,8.1e-07,8.3e-07,8.0e-07,8.0e-07,8773.82,0.007098
2019-09-20,DGBBTC,8.0e-07,8.2e-07,7.8e-07,8.1e-07,45577.7,0.0364
2019-09-19,DGBBTC,8.2e-07,8.4e-07,7.7e-07,8.0e-07,29298.67,0.02347
2019-09-18,DGBBTC,7.9e-07,8.4e-07,7.7e-07,8.2e-07,258446.44,0.2072
2019-09-17,DGBBTC,7.5e-07,7.9e-07,7.5e-07,7.9e-07,115742.02,0.08931
2019-09-16,DGBBTC,7.7e-07,7.7e-07,7.2e-07,7.5e-07,83395.89,0.06302
2019-09-15,DGBBTC,8.0e-07,8.0e-07,7.7e-07,7.7e-07,52023.31,0.04049
2019-09-14,DGBBTC,7.8e-07,8.0e-07,7.7e-07,8.0e-07,198590.6,0.1548
2019-09-13,DGBBTC,7.8e-07,8.4e-07,7.8e-07,7.8e-07,145828.67,0.1162
2019-09-12,DGBBTC,7.8e-07,8.3e-07,7.8e-07,7.8e-07,140066.07,0.1103
2019-09-11,DGBBTC,8.0e-07,8.0e-07,7.7e-07,7.8e-07,20492.68,0.01608
2019-09-10,DGBBTC,8.0e-07,8.0e-07,7.6e-07,8.0e-07,37435.68,0.02951
2019-09-09,DGBBTC,7.8e-07,8.0e-07,7.8e-07,8.0e-07,23211.57,0.01841
2019-09-08,DGBBTC,7.7e-07,8.3e-07,7.4e-07,7.8e-07,114639.14,0.08955
2019-09-07,DGBBTC,7.6e-07,7.7e-07,7.4e-07,7.7e-07,19342.02,0.0145
2019-09-06,DGBBTC,7.7e-07,8.0e-07,7.1e-07,7.6e-07,101589.21,0.07498
2019-09-05,DGBBTC,8.2e-07,8.2e-07,7.0e-07,7.7e-07,89997.08,0.06618
2019-09-04,DGBBTC,8.5e-07,8.5e-07,7.2e-07,8.2e-07,62035.62,0.04945
2019-09-03,DGBBTC,8.4e-07,8.5e-07,8.1e-07,8.5e-07,70063.7,0.05771
2019-09-02,DGBBTC,8.4e-07,9.1e-07,8.4e-07,8.4e-07,86941.35,0.07559
2019-09-01,DGBBTC,8.6e-07,8.8e-07,8.3e-07,8.4e-07,32049.6,0.02734
2019-08-31,DGBBTC,8.7e-07,8.8e-07,8.3e-07,8.6e-07,41323.22,0.03529
2019-08-30,DGBBTC,8.5e-07,8.9e-07,8.3e-07,8.7e-07,272452.48,0.2363
2019-08-29,DGBBTC,8.0e-07,8.6e-07,8.0e-07,8.5e-07,40070.49,0.03352
2019-08-28,DGBBTC,8.6e-07,8.6e-07,8.0e-07,8.0e-07,128810.91,0.1092
2019-08-27,DGBBTC,8.6e-07,8.7e-07,8.4e-07,8.6e-07,35591.22,0.03046
2019-08-26,DGBBTC,8.9e-07,8.9e-07,8.5e-07,8.6e-07,113383.09,0.09836
2019-08-25,DGBBTC,8.8e-07,9.1e-07,8.8e-07,8.9e-07,65988.53,0.05844
2019-08-24,DGBBTC,9.0e-07,1.0e-06,8.7e-07,8.8e-07,215445.61,0.1993
2019-08-23,DGBBTC,8.6e-07,9.0e-07,8.6e-07,9.0e-07,52703.16,0.04656
2019-08-22,DGBBTC,8.8e-07,8.8e-07,8.5e-07,8.6e-07,62101.21,0.0532
2019-08-21,DGBBTC,8.6e-07,8.8e-07,8.5e-07,8.8e-07,73602.26,0.06305
2019-08-20,DGBBTC,8.5e-07,8.7e-07,8.3e-07,8.6e-07,99329.12,0.0846
2019-08-19,DGBBTC,8.7e-07,8.8e-07,8.5e-07,8.5e-07,213316.16,0.1846
2019-08-18,DGBBTC,8.7e-07,8.9e-07,8.6e-07,8.7e-07,435162.33,0.3798
2019-08-17,DGBBTC,8.8e-07,8.9e-07,8.6e-07,8.7e-07,30388.43,0.02638
2019-08-16,DGBBTC,8.6e-07,9.0e-07,8.6e-07,8.8e-07,19467.77,0.0172
2019-08-15,DGBBTC,8.8e-07,9.0e-07,8.5e-07,8.6e-07,18889.68,0.01658
2019-08-14,DGBBTC,8.4e-07,9.0e-07,8.4e-07,8.8e-07,81733.03,0.07201
2019-08-13,DGBBTC,8.3e-07,8.7e-07,8.1e-07,8.4e-07,35109.03,0.02921
2019-08-12,DGBBTC,8.4e-07,8.6e-07,8.1e-07,8.3e-07,20078.83,0.01661
2019-08-11,DGBBTC,8.3e-07,8.6e-07,8.2e-07,8.4e-07,19021.67,0.01596
2019-08-10,DGBBTC,7.9e-07,8.5e-07,7.5e-07,8.3e-07,505595.75,0.4146
